,market_cap_2019
NCLH,12175377025
NRG,12130672204
NUE,18781622860
NVDA,96166140000
ORLY,29654116652
OXY,49642460920
OMC,16852864721
OKE,27828603919
ORCL,188633582640
PCAR,24093454042
PKG,9403426124
PH,22800643819
PAYX,27233474788
PYPL,113449345789
PNR,7414903621
PBCT,6678242013
PEP,163027869694
PKI,10470947214
PRGO,6631157913
PFE,249022844820
PM,134627004190
PSX,44364240000
PNW,10499629950
PXD,24364146381
PNC,56526330000
RL,9996781197
PPG,26496170850
PPL,22875327742
PFG,14775673590
PG,249082291625
PGR,42416136000
PLD,44918741000
PRU,39084040000
PEG,28977431874
PSA,35118751931
PHM,7638033713
PVH,8771653412
QRVO,8435574416
PWR,5337422889
QCOM,64134098672
DGX,11706283552
RJF,11787954786
RTN,52567013750
O,21079701046
RHT,32241109363
REG,11018554415
REGN,45937944712
RF,16779250000
RSG,24986309904
RMD,14567878915
RHI,8075903192
ROK,21527477397
ROL,12821054991
ROP,33030643225
ROST,34783466645
RCL,25199079634
CRM,123440400000
SBAC,20360491970
SLB,62077713426
STX,13537610700
SEE,6815153306
SRE,32179705505
SHW,40978366425
SPG,56642901884
SWKS,14341188326
SLG,7630307120
SNA,8943630991
SO,51273005667
LUV,29823090292
SPGI,50202284000
SWK,20754146315
SBUX,88357780000
STT,27441473025
SYK,69867165957
STI,29092801639
SIVB,13029882474
SYMC,14471875665
SYF,22594917964
SNPS,15361035705
SYY,34535498579
TROW,23179823856
TTWO,9877905568
TPR,10485604878
TGT,38146036379
TEL,28484103722
FTI,10348474446
TFX,13352829215
TXN,102255810200
TXT,12914388177
TMO,102189988807
TIF,11459552012
TWTR,24530717355
TJX,122267846823
TMK,9215468096
TSS,16605291646
TSCO,11497324282
TDG,23059985751
TRV,34896678095
TRIP,7332213238
FOXA,94202031151
FOX,93607813726
TSN,22763463994
UDR,12272959878
ULTA,18330418412
USB,83406555085
UAA,9774387455
UA,8801432373
UNP,122563933872
UAL,24407362027
UNH,253893891069
UPS,95364984279
URI,10847468566
UTX,110536518191
UHS,12433662662
UNM,8035586582
VFC,34405805465
VLO,36057714405
VAR,12090656157
VTR,22636399307
VRSN,21318838118
VRSK,20476298442
VZ,234617565237
VRTX,47636548127
VIAB,10045071838
V,330772669894
VNO,13004047807
VMC,14711447181
WMT,287969377048
WBA,67277044124
DIS,169337332509
WM,42081308322
WAT,18109286738
WEC,23828311460
WCG,13802541745
WFC,227507358000
WELL,28545390463
WDC,14938104176
WU,7719626404
WRK,10130637350
WY,19305110640
WHR,9196626763
WMB,33120337543
WLTW,22103596319
WYNN,14049016526
XEL,28122218244
XRX,7228532040
XLNX,31402449536
XYL,13524222000
YUM,28649725363
ZBH,25272664933
ZION,9563378460
ZTS,45191281057
